product_id,title,price,store_id
16305,YAMAHA T-Max 530 ABS  DX,8990.0,1
16326,FIGURA DE PVC MY HERO ACADEMY KATSUKI BAKUGO 24 CM + CAJA,34.95,3
16841,SMART WATCH HUAWEI BAND 6 CON CAJA,24.95,2
16867,CONSOLA PS3 60GB + MANDO,69.95,4
16878,MOVIL ZTE BLADE A5 2020. 32GB SIN USO (CAJA Y CARGADOR),74.95,3
16939,TELÉFONO MÓVIL SAMSUNG J4+ 2RAM/32GB COLOR NEGRO,89.95,2
16941,AURICULARES IN EAR XIAOMI REDMI BUDS 3 PRO BLUETOOTH A ESTRENAR,39.95,0
16943,TELEFONO MOVIL SAMSUNG S21 128 GB/ 8 GB SIN ACCESORIOS,499.95,1
16944,MARTILLO BELLOTA 8017-D,12.95,3
16945,ADAPTADOR DE CUADROS PARAPORTABICICLETAS AUTOMAXI PARA BICI SIN BARRA TRANSVERSAL (CAJA),13.95,2
16946,GUANTILLAS DE BOXEO CHARLIE SPORT GRANATES,14.95,3
16947,RELOJ GPS POLAR M400 CON CABLE,29.95,1
16948,RELOJ ARMANI AX7102  CON CAJA SIN USO,99.95,2
16949,TABLET SAMSUNG TAB A06 32 GB ALM 2 GB RAM CON CARGADOR,139.95,3
16951,JUEGO 3DS SHOVEL KNIGHT,34.95,2
16953,JUEGO POKEMON ESCUDO SWITCH,29.95,1
16954,JUEGO NINTENDO 3DS POKEMON ZAFIRO ALFA,24.95,1
16955,JUEGO POKEMON EDICION NEGRA,34.95,2
16956,JUEGO POKEMON LUNA 3DS,14.95,1
16957,MOVIL IPHONE 13 128GB MIDNIGHT PRECINTADO,829.95,1
16958,MOVIL IPHONE 13 PRO 128GB PRECINTADO,949.95,2
16959,PORTATIL MACBOOK PRO A2338 PROCESADOR M1 8GB RAM 512GB SSD PRECINTADO,1249.95,4
16961,TELEFONO IPHONE 13 PRO MAX 256GB GOLD+CAJA Y CABLE DE CARGA,1099.95,1
16962,TELEFONO SAMSUNG GALAXY A03S 32GB/3GB + CAJA + CARGADOR,114.95,0
16963,TELEFONO MOVIL XIAOMI REDMI 7A 32GB/2GB + CAJA + CARGADOR,84.95,3
16964,"FREIDORA DE AIRE SILVERCREST SHF 1650 A1 2,3 L",24.95,1
16966,Conjunto Pendientes Colgante Oro.,179.0,2
16968,Reloj Cauny Prima XII,159.0,2
16969,Pendientes Oro Aro Esmalte,159.0,1
16970,Pendientes Aros Medianos Anchos.,179.0,3
16972,Colgante Medalla Virgen del Carmen.,159.0,3
16973,DUCATI Monster 797,5990.0,4
16974,YAMAHA YZF R1,6490.0,1
16975,KEEWAY Superlight 125,1890.0,3
16977,PIAGGIO MP3  500 Sport,4990.0,0
16979,KEEWAY Superlight 125,1690.0,4
16989,SKATE GLOBE EST AUSTRALIA 1934 MULTICOLOR,59.95,0
16990,ALTAVOZ BLUETOOTH ANKER NEGRO,39.95,2
16991,MANDO SONY PS5 DUALSENSE BLANCO ORIGINAL (14),44.95,0
16993,TELÉFONO MÓVIL APPLE IPHONE XS MAX 256GB + CAJA + ACCESORIOS,449.95,1
16994,CAMARA REFLEX CANON 650D + OBJETIVO CANON 18-55MM + CAJA,289.95,0
16995,OBJETIVO CANON EFS 55-250MM 1:4-5.6 IS II + CAJA,129.95,2
16996,AMPLIFICADOR HIFI ONKYO A9310 180W + MANDO (12),119.95,1
16997,CAMPANA DE SECADO PORTATIL BABYLISS PRO IONIC 1200W GRIS,39.95,3
16998,MOVIL REDMI NOTE 9 6GB/128GB,139.95,1
16999,MOVIL SAMSUNG GALAXY S21 ULTRA 12GB/128GB PEQUEÑA MUESCA EN LA CARCASA,639.95,4
17000,CAÑA DE PESCAR TUBERTINI METALLICA 300 (FUNDA),49.95,2
17001,WALKMAN NEVIR NVR-255M CON CAJA,14.95,0
17002,BARBADILLA VIOLIN EVEREST,11.95,1
17003,MANDO PS4 NACON CON CABLE,29.95,2
17004,AURICULARES BLUETOOTH SONY WH-CH700N CON ESTUCHE,79.95,2
17006,TELEFONO SAMSUNG S10+ 8GB RAM 128 GB ALM,299.95,1
17007,MANDO SONY PS4 DUAL SHOCK,44.95,1
17008,ROBOT DE COCINA CECOTEC IRONMIX CON ACCESORIOS Y LIBRO RECETAS E INSTRUCCIONES,74.95,2
17010,RELOJ LOTUS 18621 CUARZO CON CORREA DE CAUCHO,49.95,2
17011,RELOJ FESTINA F6842 ACERO INOXIDABLE COLOR PLATEADO,59.95,2
17012,TELEFONO YOROTO YO-704+CAJA Y CARGADOR,19.95,1
17013,PRISMATICOS CCCP 750 8M/680000M,34.95,3
17014,JUEGO GAME BOY POKEMON EDICION ORO,24.95,3
17015,REPRODUCTOR LAUSON CL123 CD/USB/CASETE/VINILO + MANDO + INSTRUCCIONES,64.95,2
17016,CONSOLA NINTENDO WII + MANDOS + CABLES + CAJA,34.95,4
